window_id,PySINDy_f1,PySINDy_e2,PySINDy_residual,PySINDy_runtime,WSINDy_f1,WSINDy_e2,WSINDy_residual,WSINDy_runtime,RobustIDENT_f1,RobustIDENT_e2,RobustIDENT_residual,RobustIDENT_runtime
kdv_00000,0.0,1.0,1.0,0.00019860267639160156,0.0,1.0,1.0,0.018348217010498047,0.28571428571428575,1.0,133.47734386709539,0.10579085350036621
kdv_00001,0.0,1.0,1.0,0.0001876354217529297,0.0,1.0,1.0,0.021225452423095703,0.22222222222222224,1.0,20.724064893570116,0.08356952667236328
kdv_00002,0.0,1.0,1.0,0.00010943412780761719,0.0,1.0,1.0,0.025872468948364258,0.22222222222222224,1.0,3.7147147938220826,0.1037588119506836
kdv_00003,0.0,1.0,1.0,0.0001125335693359375,0.0,1.0,1.0,0.028369426727294922,0.0,1.0,2.710609353778375,0.08854460716247559
kdv_00004,0.0,1.0,1.0,0.00010919570922851562,0.0,1.0,1.0,0.026503562927246094,0.0,1.0,2.2775470738175123,0.1629331111907959
kdv_00005,0.0,1.0,1.0,0.00011539459228515625,0.0,1.0,1.0,0.021575450897216797,0.0,1.0,2.383631059638008,0.1443791389465332
kdv_00006,0.0,1.0,1.0,0.0002932548522949219,0.0,1.0,1.0,0.016278982162475586,0.0,1.0,2.405563419440169,0.14194726943969727
kdv_00007,0.0,1.0,1.0,0.0001671314239501953,0.0,1.0,1.0,0.021631240844726562,0.0,1.0,2.387317362365864,0.0988607406616211
kdv_00008,0.0,1.0,1.0,0.00024247169494628906,0.0,1.0,1.0,0.02203679084777832,0.0,1.0,2.3472202611578217,0.07146596908569336
kdv_00009,0.0,1.0,1.0,0.00022554397583007812,0.0,1.0,1.0,0.01795816421508789,0.0,1.0,2.3206442851457627,0.11703968048095703
