window_id,pde_type,window_x_start,window_t_start,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,WeakIDENT_f1,WeakIDENT_e2,WeakIDENT_residual,WeakIDENT_runtime,WeakIDENT_error
burgers_00000,burgers,0,0,0.21270085986474654,0.24458959164362698,0.6709111722439883,1.4207143708246632,17.39768032286582,5.787380084482874,2.6888789863458054,0.09864683836218056,0.6006383407297314,0.2642443703522799,0.6701901013558886,0.9982695821450592,0.0,1.0,1.0,0.010665655136108398,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00001,burgers,0,14,0.19664629363463904,0.1799186589248711,0.46306673280779864,1.254193809478717,13.031930251832332,5.012040837374054,2.624747550904467,0.09989769501578519,0.5723991430647265,0.2461233153132949,0.5988316789577285,0.9608406435578138,0.0,1.0,1.0,0.000881195068359375,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00002,burgers,0,28,0.18216243189028136,0.13809058214566486,0.322116390416308,1.1019598724067399,10.678127373675418,4.44353910517481,2.5595179697094967,0.09534380127288136,0.5328795763675791,0.23009924322381048,0.5527450680024214,0.9097647222846507,0.0,1.0,1.0,0.0007777214050292969,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00003,burgers,0,42,0.16897277081390702,0.11128060480528472,0.23288145505735117,0.9675652376050413,8.988306431950962,3.99205690052562,2.4962218196275723,0.08821656463410854,0.4900336657957363,0.21602144144127586,0.5236105169028236,0.8551832350867511,0.0,1.0,1.0,0.0008337497711181641,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00004,burgers,0,56,0.15703777374154224,0.09333984385204237,0.1773412893896361,0.852043861441759,7.579990649885369,3.6210428063097044,2.4363103030801114,0.08042673001974313,0.44819329260888385,0.2036474968151578,0.5052599511631343,0.8024855717045928,0.0,1.0,1.0,0.0007493495941162109,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00005,burgers,0,70,0.14630579595860765,0.08056682718170868,0.14219217485693633,0.7540376569335665,6.389660353690512,3.295109778156613,2.3802696385552675,0.07289165466498776,0.40929673043743336,0.19272692257893081,0.4934979545069825,0.7538702579044768,0.0,1.0,1.0,0.0007104873657226562,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00006,burgers,0,84,0.1366834614475217,0.07092677050931669,0.1190794278765267,0.6711906067950932,5.397769980350626,2.962486469831216,2.3281001578244895,0.065980636105486,0.3740037625648106,0.18303496341630174,0.48566002938325,0.7099147262055538,0.0,1.0,1.0,0.0007154941558837891,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00007,burgers,0,98,0.1280559641838484,0.06330646730484014,0.10309667877759716,0.6010310024847022,4.580076764538034,2.6532124249434297,2.2795866508008524,0.05979740048453529,0.34235800374594394,0.1743811746310486,0.4800869230017294,0.6704833897937373,0.0,1.0,1.0,0.0007188320159912109,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00008,burgers,0,112,0.12030588807494741,0.05707327801724906,0.09143961059750182,0.5413409257413914,3.9086941043102597,2.37697712839835,2.234434360388529,0.054327519846063675,0.31413206323255427,0.1666079197223816,0.47573366724520355,0.6351712216685377,0.0,1.0,1.0,0.0007183551788330078,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00009,burgers,0,126,0.11332347275804655,0.05184691804090011,0.08250959372837169,0.4902564330233785,3.356977834204318,2.134652978790119,2.1923334013451523,0.04950968967361647,0.2889978241763933,0.15958573549075672,0.47193311283422223,0.6035037042963067,0.0,1.0,1.0,0.000720977783203125,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00010,burgers,0,140,0.10701075540305281,0.04738474134979002,0.07538109122453447,0.44625597437092435,2.9018865276546393,1.923627187378707,2.1529874493967625,0.04526872193943338,0.2666072912533641,0.1532083174522466,0.4682377034906241,0.5750207731536792,0.0,1.0,1.0,0.0007088184356689453,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00011,burgers,0,154,0.10128239368214371,0.04352310073640645,0.06950268993768226,0.4081121549254873,2.524476890265214,1.7401857525022324,2.1161250902020328,0.04153008453357001,0.24662892700564656,0.14738806128334012,0.46428023584482364,0.5493078613006727,0.0,1.0,1.0,0.0007190704345703125,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00012,burgers,0,168,0.09606494506421023,0.04014621174398498,0.06453341292654723,0.3748378890256619,2.209559313922065,1.580534994121252,2.0815029448908478,0.03822572748219562,0.22876214962666444,0.1420523772288744,0.46006987109155095,0.5260036454210569,0.0,1.0,1.0,0.0007617473602294922,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00013,burgers,0,182,0.09129555226517802,0.03716882448035828,0.06025339624368102,0.34563805327282837,1.9450899249452995,1.4412026149728252,2.0489050451524125,0.03529588111859905,0.21274131797135443,0.13714073663906948,0.4557049336946578,0.5047980894574604,0.0,1.0,1.0,0.0007398128509521484,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00014,burgers,0,196,0.08692049861291283,0.03452609304683873,0.05651459802989451,0.31986949230294004,1.7215526802948773,1.3191615029489734,2.0181406402574757,0.032689064011308853,0.1983348525884583,0.13260233512013372,0.4512512404543799,0.4854269365995613,0.0,1.0,1.0,0.0007722377777099609,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00015,burgers,0,210,0.08289384003519247,0.03216736441780499,0.05321303890711394,0.29700912426366377,1.5314222241656883,1.211834492853725,1.989041488313541,0.030361362474169807,0.18534230132536816,0.1283942502490417,0.44675289902058973,0.4676653616727145,0.0,1.0,1.0,0.0007147789001464844,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00016,burgers,0,224,0.07917619216106833,0.030052200446460706,0.050272759444180366,0.2766289242236417,1.3687271479019167,1.1170525846779245,1.961459124447863,0.028275477625601352,0.17359072875178538,0.12447998745556019,0.44223938599255236,0.45132191374880176,0.0,1.0,1.0,0.0007007122039794922,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00017,burgers,0,238,0.07573369028330307,0.028147729526984747,0.04763627869574866,0.25837642820038137,1.2287061155212275,1.0329992510591524,1.9352623213324525,0.02639976321182404,0.1629310856998721,0.12082832791507428,0.4377302540126334,0.43623315798601586,0.0,1.0,1.0,0.0007011890411376953,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00018,burgers,0,252,0.0725371132014978,0.02642682325493844,0.04525874666468269,0.2419595530235013,1.1075412637544315,0.9581548972866782,1.9103348211686475,0.02470734641652897,0.15323484954459354,0.11741241096277691,0.43323830129459295,0.42225910589403587,0.0,1.0,1.0,0.0007097721099853516,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00019,burgers,0,266,0.06956115186221598,0.02486680443162965,0.04310425108754904,0.22713474987093654,1.0021528550074335,0.8912469379123711,1.8865733528584459,0.023175361916878925,0.14439104265061722,0.11420899895125505,0.42877172787384465,0.4092793899150087,0.0,1.0,1.0,0.0007143020629882812,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00020,burgers,0,280,0.06678380141932792,0.02344850877011783,0.04114341479952156,0.21369772164104447,0.910041331650093,0.8312070525097748,1.8638859184346315,0.021784301204380074,0.13630364701707604,0.11119788459629286,0.4243356143024053,0.3971900906980557,0.0,1.0,1.0,0.0007143020629882812,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00021,burgers,0,294,0.06418585646944193,0.02215558890182947,0.03935178700393183,0.2014761120956383,0.8291656312123584,0.777135497793624,1.8421903210578927,0.020517467356193732,0.1288893920108929,0.10836141017600405,0.41993294141506093,0.3859011162236825,0.0,1.0,1.0,0.0007040500640869141,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00022,burgers,0,308,0.06175049163961342,0.020973988505941794,0.03770873548626704,0.19032371530844527,0.7578491129185276,0.728271704960759,1.8214129038968039,0.01936052146660808,0.12207587556071745,0.10568407504032051,0.41556529578825774,0.37533403864865816,0.0,1.0,1.0,0.0007014274597167969,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
burgers_00023,burgers,0,322,0.05946291241585761,0.019891538420362908,0.03619666256121097,0.18011586209886507,0.6947064984987856,0.6839702163005112,1.80148747031486,0.01830110659554677,0.11579997494863925,0.10315221326504813,0.4112333579440646,0.36542030701596434,0.0,1.0,1.0,0.0007526874542236328,"ufunc 'fft' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
