window_id,pde_type,window_x_start,window_t_start,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,PySINDy_f1,PySINDy_e2,PySINDy_residual,PySINDy_runtime,RobustIDENT_f1,RobustIDENT_e2,RobustIDENT_residual,RobustIDENT_runtime,WSINDy_f1,WSINDy_e2,WSINDy_residual,WSINDy_runtime,best_method,oracle_e2,WeakIDENT_f1,WeakIDENT_e2,WeakIDENT_residual,WeakIDENT_runtime
kdv_00000,kdv,0,0,37.87706777715263,200.824725456984,1074.0233880863468,799.7565621646071,102051.4913005001,22346.854736932528,6.436835119590337,4.193101763457441,5.456430743207794,5.326345878558748,4.745457131725097,160.5643420142966,0.0,1.0,1.0,0.0004212856292724,1.0,66.75365638795725,423.09208950168903,0.0027413368225097,0.0,1.0,1.0,0.0004332065582275,WeakIDENT,0.8490310408183014,0.6666666666666666,0.8490310408183014,0.0008947842295443,0.7267794609069824
kdv_00001,kdv,0,9,9.592091309680976,51.767599390805614,278.7480444192796,203.26567804553892,26743.1635231195,5834.61592677093,5.0569125124303635,2.870655809987825,4.090463199857464,1.329818965394766,5.3286783064891585,40.689536828448354,0.0,1.0,1.0,0.0002884864807128,1.0,67.15140493238309,37.885936743219105,0.0026509761810302,0.0,1.0,1.0,0.0003821849822998,WeakIDENT,0.8493851388389854,0.6666666666666666,0.8493851388389854,0.0012740152447734,0.7076003551483154
kdv_00002,kdv,0,18,2.3704290445207428,12.893162559362093,72.08623499376051,50.335959218079616,6994.024560360885,1454.1866181193104,3.674716534859851,1.634057666274385,2.740710285994832,0.3272651176460684,7.460131964521404,10.061337739642742,0.0,1.0,1.0,0.0002200603485107,1.0,48.33674480375774,9.127473109558936,0.0026335716247558,0.0,1.0,1.0,0.000382661819458,PySINDy,1.0,0.8,1.8628360066550904,0.0196020797791401,0.8052575588226318
kdv_00003,kdv,0,27,0.5867801335976481,3.3933718135769415,27.0034538287575,12.666527085388765,2724.699156262284,355.28798570154316,2.3444149666348233,0.6956104998060554,1.5170127148641832,0.0802763099952694,16.315301781155846,2.478898089572606,0.0,1.0,1.0,0.0002219676971435,1.0,17.6587809478972,3.95058510171091,0.00258469581604,0.0,1.0,1.0,0.000356912612915,WeakIDENT,0.8513908937962028,0.6666666666666666,0.8513908937962028,0.0964576698570048,0.7837128639221191
kdv_00004,kdv,0,36,0.1618437055938654,1.5206133974883875,22.18412858908263,4.2461853503716975,2327.293107859668,80.43453224225239,1.1961395931104275,0.22010512630419,0.6291477925161681,0.0200131201222523,54.93094512228434,0.6138825692348405,0.0,1.0,1.0,0.0002682209014892,1.0,48.613518522587995,2.2719917718061633,0.0025970935821533,0.0,1.0,1.0,0.0003633499145507,PySINDy,1.0,0.6666666666666666,1.0038700698080878,0.654000860007809,0.3251831531524658
kdv_00005,kdv,0,45,0.0801730014576361,1.2748040919782075,20.97755946131412,2.9631466959902215,2202.8151515749396,25.417182696037347,0.4533706528190403,0.086327943329372,0.212659460918256,0.0062421314400587,161.58924061182393,0.1674343723048446,0.0,1.0,1.0,0.0002496242523193,1.0,36.133316440067226,2.0812950159563677,0.0026516914367675,0.0,1.0,1.0,0.0003650188446044,PySINDy,1.0,0.6666666666666666,1.0042481955495974,0.5086490656113131,0.3957595825195312
kdv_00006,kdv,0,54,0.0700160957157814,1.2273235585220812,20.469677678208107,2.8090544946271594,2170.227702919745,8.244228083854068,0.1544276405878439,0.0599721404570769,0.0849896009179234,0.0041418408326841,234.36578841117617,0.0481989894904768,0.0,1.0,1.0,0.0002353191375732,1.0,23.937273595565628,1.9950685113788311,0.0025591850280761,0.0,1.0,1.0,0.0003645420074462,PySINDy,1.0,0.6666666666666666,1.004190102987509,0.4876974661865866,0.3754580020904541
kdv_00007,kdv,0,63,0.0720949358021789,1.2747834082711482,21.27880242043458,2.906637150075338,2224.1035960843355,8.244228083854068,0.0907939471275098,0.060631487006054,0.0620999168922537,0.0041559072243858,245.89296242651687,0.0231216241301376,0.0,1.0,1.0,0.0002341270446777,1.0,15.896536124984564,2.0387745598190996,0.0025537014007568,0.0,1.0,1.0,0.0003790855407714,PySINDy,1.0,0.6666666666666666,1.0041705534292114,0.5095709228054828,0.3760080337524414
kdv_00008,kdv,0,72,0.0719437161071203,1.2729031799671566,21.231819139123292,2.907447920294841,2243.5310798569026,8.244228083854068,0.0873608903251314,0.0575383826574828,0.0605610917910382,0.0041425910476954,245.75419114156227,0.0231216241301376,0.0,1.0,1.0,0.0002775192260742,1.0,15.095571887901803,2.0040942983818826,0.0026867389678955,0.0,1.0,1.0,0.0003759860992431,PySINDy,1.0,0.6666666666666666,1.004295989707829,0.4961373401819433,0.3244125843048095
kdv_00009,kdv,0,81,0.0681463029921717,1.2056111805180998,20.11799954525272,2.7776962212720604,2152.16305780283,8.244228083854068,0.0849313874973296,0.0514367266839098,0.0551154065892908,0.0039349551605154,241.86950234278623,0.0231216241301376,0.0,1.0,1.0,0.0002775192260742,1.0,14.439262974327429,2.0445506997640273,0.0025610923767089,0.0,1.0,1.0,0.0003619194030761,PySINDy,1.0,1.0,8.210338639849763,0.4398244350204134,0.3466825485229492
