model,test_accuracy,cv_mean,cv_std
Random Forest,0.9706390328151986,0.8785107694696098,0.1252377125812052
Gradient Boosting,0.9568221070811744,0.8764352451026494,0.12205714739506648
KNN (k=5),0.9499136442141624,0.8717832283181297,0.11618792493817973
Logistic Regression,0.8946459412780656,0.8842095049581806,0.10923195211372677
SVM (RBF),0.886873920552677,0.8629594135270331,0.12728521513286406
Ridge Classifier,0.8799654576856649,0.8645209828885674,0.10671913042879377
